Order_ID,Date,Hour,Restaurant,Item,Amount,Customer_ID
56,2026-04-25,19,Cafe Himalaya,Chicken Momos,180,C238
57,2026-04-19,18,Snow Peak Diner,Fried Rice,200,C283
58,2026-01-21,18,Tawang Kitchen,Veg Momos,150,C453
59,2026-01-04,11,Tawang Kitchen,Burger,220,C017
60,2026-01-06,17,Taste of Tawang,Chowmein,180,C037
61,2026-04-03,17,Arunachal Treats,Coffee,80,C095
62,2026-04-26,15,Arunachal Treats,Burger,220,C416
63,2026-03-08,13,Taste of Tawang,Tea,40,C490
64,2026-02-27,21,Snow Peak Diner,Fried Rice,200,C114
65,2026-05-07,18,Dragon Bites,Fried Rice,200,C474
66,2026-04-14,19,Cafe Himalaya,Chicken Momos,180,C176
67,2026-01-26,20,Taste of Tawang,Tea,40,C408
68,2026-05-15,18,Momo Junction,Spring Roll,120,C321
69,2026-05-24,12,Mountain Cafe,Coffee,80,C471
70,2026-03-07,18,Cafe Himalaya,Veg Momos,150,C051
71,2026-03-04,22,Cafe Himalaya,Thukpa,220,C314
72,2026-03-27,14,Highland Kitchen,Spring Roll,120,C326
73,2026-04-11,18,Arunachal Treats,Fried Rice,200,C060
74,2026-04-13,12,Momo Junction,Chowmein,180,C350
75,2026-02-24,13,Dragon Bites,Burger,220,C124
76,2026-05-27,20,Mountain Cafe,Spring Roll,120,C092
77,2026-03-31,11,Arunachal Treats,Spring Roll,120,C318
78,2026-05-07,19,Arunachal Treats,Tea,40,C129
79,2026-05-02,13,Dragon Bites,Spring Roll,120,C096
80,2026-02-17,13,Arunachal Treats,Fried Rice,200,C385
81,2026-03-10,19,Bamboo Bowl,Tea,40,C451
82,2026-05-24,13,Cafe Himalaya,Spring Roll,120,C185
83,2026-02-16,11,Momo Junction,Chowmein,180,C453
84,2026-03-26,18,Tawang Kitchen,Spring Roll,120,C254
85,2026-01-23,11,Cafe Himalaya,Chowmein,180,C325
86,2026-02-03,15,Highland Kitchen,Pizza,350,C250
87,2026-04-06,20,Arunachal Treats,Burger,220,C493
88,2026-01-16,12,Bamboo Bowl,Pizza,350,C258
89,2026-05-08,19,Momo Junction,Chicken Momos,180,C152
90,2026-05-04,13,Mountain Cafe,Veg Momos,150,C427
91,2026-01-12,17,Tawang Kitchen,Chowmein,180,C168
92,2026-02-12,13,Dragon Bites,Spring Roll,120,C253
93,2026-02-04,16,Highland Kitchen,Burger,220,C264
94,2026-03-31,16,Mountain Cafe,Spring Roll,120,C105
95,2026-02-27,19,Snow Peak Diner,Tea,40,C420
96,2026-01-21,22,Momo Junction,Thukpa,220,C394
97,2026-04-09,17,Dragon Bites,Chowmein,180,C497
98,2026-04-06,16,Arunachal Treats,Tea,40,C268
99,2026-01-13,20,Mountain Cafe,Chicken Momos,180,C361
100,2026-04-23,18,Taste of Tawang,Chicken Momos,180,C342
101,2026-04-10,11,Taste of Tawang,Burger,220,C403
102,2026-01-28,21,Momo Junction,Thukpa,220,C339
103,2026-04-21,12,Arunachal Treats,Spring Roll,120,C099
104,2026-05-03,14,Arunachal Treats,Thukpa,220,C151
105,2026-02-08,12,Highland Kitchen,Thukpa,220,C186
106,2026-05-22,18,Arunachal Treats,Tea,40,C163
107,2026-03-16,12,Taste of Tawang,Tea,40,C074
108,2026-05-25,12,Bamboo Bowl,Spring Roll,120,C174
109,2026-05-17,20,Highland Kitchen,Coffee,80,C194
110,2026-01-29,12,Mountain Cafe,Chowmein,180,C136
111,2026-03-27,20,Bamboo Bowl,Chicken Momos,180,C217
112,2026-02-05,17,Mountain Cafe,Pizza,350,C445
113,2026-04-01,14,Mountain Cafe,Fried Rice,200,C039
114,2026-05-21,17,Highland Kitchen,Burger,220,C148
115,2026-03-02,20,Bamboo Bowl,Coffee,80,C001
116,2026-04-02,22,Tawang Kitchen,Burger,220,C409
117,2026-04-27,22,Arunachal Treats,Coffee,80,C080
118,2026-05-27,22,Dragon Bites,Fried Rice,200,C047
119,2026-02-18,19,Tawang Kitchen,Thukpa,220,C373
120,2026-04-28,17,Bamboo Bowl,Fried Rice,200,C441
121,2026-01-16,21,Snow Peak Diner,Spring Roll,120,C156
122,2026-01-08,13,Momo Junction,Chowmein,180,C090
123,2026-03-01,19,Arunachal Treats,Coffee,80,C041
124,2026-05-25,15,Arunachal Treats,Pizza,350,C212
125,2026-05-14,21,Arunachal Treats,Burger,220,C303
126,2026-01-10,21,Dragon Bites,Thukpa,220,C251
127,2026-04-29,17,Cafe Himalaya,Chowmein,180,C065
128,2026-01-11,19,Taste of Tawang,Veg Momos,150,C342
129,2026-04-08,11,Tawang Kitchen,Chicken Momos,180,C405
130,2026-01-06,19,Arunachal Treats,Tea,40,C351
131,2026-04-12,21,Bamboo Bowl,Chowmein,180,C485
132,2026-03-24,14,Taste of Tawang,Chowmein,180,C366
133,2026-02-20,15,Momo Junction,Chicken Momos,180,C446
134,2026-04-23,20,Dragon Bites,Chicken Momos,180,C348
135,2026-02-08,19,Dragon Bites,Coffee,80,C438
136,2026-01-03,18,Tawang Kitchen,Fried Rice,200,C054
137,2026-02-26,19,Bamboo Bowl,Chowmein,180,C207
138,2026-03-26,19,Mountain Cafe,Chowmein,180,C103
139,2026-02-07,19,Dragon Bites,Fried Rice,200,C286
140,2026-02-21,18,Tawang Kitchen,Burger,220,C472
141,2026-04-16,20,Arunachal Treats,Tea,40,C285
142,2026-05-18,21,Highland Kitchen,Pizza,350,C273
143,2026-03-10,22,Arunachal Treats,Pizza,350,C450
144,2026-04-21,13,Bamboo Bowl,Burger,220,C336
145,2026-05-24,19,Snow Peak Diner,Fried Rice,200,C388
146,2026-01-25,21,Mountain Cafe,Coffee,80,C155
147,2026-03-02,13,Mountain Cafe,Veg Momos,150,C277
148,2026-04-02,16,Cafe Himalaya,Chowmein,180,C405
149,2026-01-01,18,Highland Kitchen,Fried Rice,200,C046
150,2026-03-19,16,Taste of Tawang,Veg Momos,150,C282
151,2026-02-16,19,Snow Peak Diner,Thukpa,220,C350
152,2026-01-26,20,Snow Peak Diner,Chicken Momos,180,C113
153,2026-02-16,17,Cafe Himalaya,Burger,220,C014
154,2026-01-28,17,Snow Peak Diner,Spring Roll,120,C386
155,2026-01-14,13,Mountain Cafe,Spring Roll,120,C007
156,2026-04-21,20,Dragon Bites,Burger,220,C294
157,2026-04-25,14,Taste of Tawang,Burger,220,C119
158,2026-01-28,11,Taste of Tawang,Chowmein,180,C273
159,2026-03-27,16,Taste of Tawang,Tea,40,C145
160,2026-01-25,19,Mountain Cafe,Pizza,350,C233
161,2026-04-21,19,Cafe Himalaya,Veg Momos,150,C034
162,2026-04-23,19,Highland Kitchen,Coffee,80,C425
163,2026-01-06,21,Dragon Bites,Chowmein,180,C443
164,2026-02-28,22,Arunachal Treats,Coffee,80,C377
165,2026-05-30,14,Cafe Himalaya,Chicken Momos,180,C112
166,2026-04-04,13,Snow Peak Diner,Pizza,350,C311
167,2026-05-11,18,Snow Peak Diner,Thukpa,220,C229
168,2026-01-06,17,Momo Junction,Pizza,350,C335
169,2026-04-28,14,Snow Peak Diner,Fried Rice,200,C486
170,2026-03-03,21,Snow Peak Diner,Burger,220,C026
171,2026-02-13,14,Highland Kitchen,Burger,220,C118
172,2026-01-19,13,Momo Junction,Pizza,350,C113
173,2026-03-31,20,Cafe Himalaya,Chicken Momos,180,C293
174,2026-03-18,18,Tawang Kitchen,Pizza,350,C390
175,2026-01-10,18,Highland Kitchen,Veg Momos,150,C172
176,2026-01-13,19,Momo Junction,Veg Momos,150,C321
177,2026-03-14,20,Snow Peak Diner,Chowmein,180,C038
178,2026-04-04,12,Arunachal Treats,Tea,40,C318
179,2026-03-19,21,Taste of Tawang,Veg Momos,150,C418
180,2026-02-04,21,Cafe Himalaya,Burger,220,C060
181,2026-01-11,20,Mountain Cafe,Coffee,80,C213
182,2026-01-05,14,Highland Kitchen,Chowmein,180,C062
183,2026-03-30,20,Taste of Tawang,Pizza,350,C402
184,2026-03-13,18,Mountain Cafe,Coffee,80,C125
185,2026-04-07,20,Tawang Kitchen,Fried Rice,200,C153
186,2026-02-22,21,Mountain Cafe,Chicken Momos,180,C039
187,2026-05-14,16,Mountain Cafe,Burger,220,C456
188,2026-01-15,20,Tawang Kitchen,Spring Roll,120,C500
189,2026-02-07,20,Arunachal Treats,Tea,40,C411
190,2026-02-02,11,Cafe Himalaya,Tea,40,C322
191,2026-01-05,20,Tawang Kitchen,Spring Roll,120,C118
192,2026-05-21,12,Momo Junction,Fried Rice,200,C365
193,2026-01-15,20,Arunachal Treats,Coffee,80,C157
194,2026-03-17,20,Mountain Cafe,Pizza,350,C243
195,2026-02-05,19,Arunachal Treats,Pizza,350,C148
196,2026-04-14,19,Snow Peak Diner,Spring Roll,120,C023
197,2026-02-15,19,Highland Kitchen,Spring Roll,120,C141
198,2026-04-21,19,Momo Junction,Coffee,80,C496
199,2026-05-13,21,Snow Peak Diner,Pizza,350,C127
200,2026-04-02,17,Taste of Tawang,Spring Roll,120,C051
201,2026-02-10,21,Bamboo Bowl,Coffee,80,C257
202,2026-05-29,13,Momo Junction,Chowmein,180,C182
203,2026-02-26,16,Cafe Himalaya,Tea,40,C055
204,2026-05-23,17,Taste of Tawang,Burger,220,C309
205,2026-02-26,11,Taste of Tawang,Thukpa,220,C291
206,2026-01-25,20,Cafe Himalaya,Pizza,350,C386
207,2026-04-01,18,Mountain Cafe,Tea,40,C182
208,2026-01-25,18,Cafe Himalaya,Coffee,80,C344
209,2026-01-29,19,Cafe Himalaya,Chicken Momos,180,C154
210,2026-02-18,13,Momo Junction,Veg Momos,150,C361
211,2026-05-28,17,Snow Peak Diner,Chicken Momos,180,C049
212,2026-01-01,15,Bamboo Bowl,Tea,40,C435
213,2026-03-03,14,Tawang Kitchen,Coffee,80,C429
214,2026-01-19,12,Mountain Cafe,Coffee,80,C175
215,2026-04-23,17,Cafe Himalaya,Veg Momos,150,C435
216,2026-05-09,16,Bamboo Bowl,Pizza,350,C359
217,2026-02-01,15,Mountain Cafe,Burger,220,C366
218,2026-05-04,20,Bamboo Bowl,Veg Momos,150,C476
219,2026-05-15,19,Tawang Kitchen,Veg Momos,150,C313
220,2026-03-08,14,Snow Peak Diner,Tea,40,C054
221,2026-03-08,21,Snow Peak Diner,Thukpa,220,C418
222,2026-04-06,22,Snow Peak Diner,Burger,220,C302
223,2026-05-22,15,Dragon Bites,Pizza,350,C007
224,2026-01-07,20,Arunachal Treats,Spring Roll,120,C147
225,2026-02-05,19,Dragon Bites,Burger,220,C002
226,2026-02-16,19,Highland Kitchen,Chicken Momos,180,C386
227,2026-04-29,15,Arunachal Treats,Burger,220,C293
228,2026-05-17,18,Mountain Cafe,Fried Rice,200,C500
229,2026-03-27,20,Tawang Kitchen,Spring Roll,120,C202
230,2026-02-28,21,Tawang Kitchen,Coffee,80,C370
231,2026-01-14,20,Dragon Bites,Burger,220,C237
232,2026-04-13,14,Cafe Himalaya,Thukpa,220,C235
233,2026-01-29,13,Bamboo Bowl,Pizza,350,C293
234,2026-05-26,18,Highland Kitchen,Fried Rice,200,C356
235,2026-02-03,19,Taste of Tawang,Thukpa,220,C486
236,2026-03-17,14,Highland Kitchen,Spring Roll,120,C342
237,2026-01-27,21,Cafe Himalaya,Chowmein,180,C219
238,2026-04-08,19,Taste of Tawang,Coffee,80,C309
239,2026-05-18,21,Highland Kitchen,Tea,40,C469
240,2026-02-15,11,Cafe Himalaya,Spring Roll,120,C363
241,2026-02-20,12,Mountain Cafe,Chicken Momos,180,C282
242,2026-01-11,15,Momo Junction,Chowmein,180,C113
243,2026-02-23,18,Snow Peak Diner,Tea,40,C246
244,2026-03-10,18,Highland Kitchen,Fried Rice,200,C036
245,2026-03-22,18,Dragon Bites,Pizza,350,C201
246,2026-03-14,12,Tawang Kitchen,Spring Roll,120,C129
247,2026-03-02,19,Highland Kitchen,Thukpa,220,C025
248,2026-02-04,20,Arunachal Treats,Tea,40,C108
249,2026-04-12,19,Mountain Cafe,Burger,220,C101
250,2026-01-17,21,Bamboo Bowl,Chicken Momos,180,C497
251,2026-03-24,20,Arunachal Treats,Coffee,80,C081
252,2026-04-28,19,Snow Peak Diner,Tea,40,C025
253,2026-03-30,19,Highland Kitchen,Veg Momos,150,C489
254,2026-02-16,11,Bamboo Bowl,Spring Roll,120,C401
255,2026-01-26,19,Highland Kitchen,Tea,40,C391
256,2026-01-07,15,Snow Peak Diner,Chowmein,180,C498
257,2026-03-23,20,Momo Junction,Tea,40,C423
258,2026-05-26,18,Bamboo Bowl,Burger,220,C273
259,2026-04-18,13,Dragon Bites,Coffee,80,C131
260,2026-04-18,19,Snow Peak Diner,Chowmein,180,C497
261,2026-04-03,19,Dragon Bites,Pizza,350,C161
262,2026-04-18,14,Bamboo Bowl,Spring Roll,120,C227
263,2026-02-03,11,Bamboo Bowl,Spring Roll,120,C269
264,2026-04-06,20,Bamboo Bowl,Veg Momos,150,C302
265,2026-01-29,20,Arunachal Treats,Pizza,350,C236
266,2026-01-16,20,Taste of Tawang,Thukpa,220,C266
267,2026-04-13,18,Tawang Kitchen,Thukpa,220,C478
268,2026-01-03,18,Snow Peak Diner,Chicken Momos,180,C158
269,2026-03-09,19,Arunachal Treats,Veg Momos,150,C153
270,2026-03-14,12,Taste of Tawang,Chicken Momos,180,C344
271,2026-05-20,21,Arunachal Treats,Pizza,350,C061
272,2026-05-04,17,Snow Peak Diner,Chowmein,180,C319
273,2026-01-11,21,Dragon Bites,Coffee,80,C153
274,2026-02-21,12,Snow Peak Diner,Tea,40,C148
275,2026-04-27,20,Highland Kitchen,Fried Rice,200,C107
276,2026-02-26,14,Tawang Kitchen,Veg Momos,150,C259
277,2026-01-06,20,Cafe Himalaya,Coffee,80,C047
278,2026-01-09,21,Highland Kitchen,Tea,40,C241
279,2026-03-23,19,Snow Peak Diner,Spring Roll,120,C003
280,2026-01-13,14,Taste of Tawang,Burger,220,C329
281,2026-05-22,20,Taste of Tawang,Pizza,350,C440
282,2026-05-03,13,Taste of Tawang,Burger,220,C195
283,2026-03-17,11,Snow Peak Diner,Thukpa,220,C025
284,2026-05-19,12,Snow Peak Diner,Chowmein,180,C124
285,2026-03-13,19,Highland Kitchen,Fried Rice,200,C402
286,2026-02-06,14,Arunachal Treats,Fried Rice,200,C461
287,2026-04-24,18,Mountain Cafe,Chicken Momos,180,C186
288,2026-02-25,19,Snow Peak Diner,Burger,220,C347
289,2026-01-06,18,Snow Peak Diner,Chicken Momos,180,C092
290,2026-02-28,20,Taste of Tawang,Chicken Momos,180,C269
291,2026-04-10,19,Cafe Himalaya,Thukpa,220,C188
292,2026-05-13,21,Highland Kitchen,Tea,40,C249
293,2026-01-31,20,Highland Kitchen,Burger,220,C160
294,2026-02-08,13,Momo Junction,Chowmein,180,C258
295,2026-01-13,19,Tawang Kitchen,Tea,40,C233
296,2026-04-14,14,Snow Peak Diner,Chicken Momos,180,C365
297,2026-03-11,15,Bamboo Bowl,Burger,220,C074
298,2026-03-04,17,Arunachal Treats,Thukpa,220,C477
299,2026-05-28,19,Dragon Bites,Fried Rice,200,C324
300,2026-01-12,12,Highland Kitchen,Chicken Momos,180,C374
301,2026-01-22,19,Dragon Bites,Chicken Momos,180,C306
302,2026-05-05,17,Tawang Kitchen,Pizza,350,C134
303,2026-02-27,11,Dragon Bites,Burger,220,C430
304,2026-01-29,21,Mountain Cafe,Veg Momos,150,C397
305,2026-02-08,18,Momo Junction,Thukpa,220,C288
306,2026-03-25,19,Mountain Cafe,Veg Momos,150,C337
307,2026-04-02,20,Arunachal Treats,Coffee,80,C443
308,2026-01-06,20,Arunachal Treats,Pizza,350,C387
309,2026-02-27,21,Dragon Bites,Chicken Momos,180,C445
310,2026-03-05,20,Snow Peak Diner,Burger,220,C012
311,2026-01-15,18,Snow Peak Diner,Veg Momos,150,C060
312,2026-05-25,12,Snow Peak Diner,Thukpa,220,C079
313,2026-05-11,20,Arunachal Treats,Veg Momos,150,C024
314,2026-05-11,13,Taste of Tawang,Spring Roll,120,C222
315,2026-01-17,19,Momo Junction,Tea,40,C228
316,2026-03-04,19,Arunachal Treats,Thukpa,220,C117
317,2026-03-29,18,Tawang Kitchen,Veg Momos,150,C072
318,2026-01-18,19,Dragon Bites,Chowmein,180,C366
319,2026-02-01,19,Taste of Tawang,Fried Rice,200,C289
320,2026-05-16,19,Mountain Cafe,Fried Rice,200,C088
321,2026-05-25,12,Cafe Himalaya,Thukpa,220,C086
322,2026-04-07,18,Tawang Kitchen,Pizza,350,C233
323,2026-03-18,12,Cafe Himalaya,Chicken Momos,180,C103
324,2026-04-13,14,Highland Kitchen,Veg Momos,150,C498
325,2026-04-16,13,Tawang Kitchen,Veg Momos,150,C360
326,2026-05-03,11,Cafe Himalaya,Burger,220,C073
327,2026-02-10,19,Snow Peak Diner,Tea,40,C328
328,2026-04-02,20,Bamboo Bowl,Veg Momos,150,C459
329,2026-05-12,19,Cafe Himalaya,Pizza,350,C410
330,2026-05-07,18,Highland Kitchen,Burger,220,C014
331,2026-01-12,14,Taste of Tawang,Veg Momos,150,C301
332,2026-05-02,16,Momo Junction,Burger,220,C173
333,2026-04-29,18,Mountain Cafe,Coffee,80,C300
334,2026-05-26,19,Arunachal Treats,Veg Momos,150,C352
335,2026-04-15,18,Highland Kitchen,Coffee,80,C243
336,2026-04-03,17,Tawang Kitchen,Burger,220,C391
337,2026-04-04,22,Highland Kitchen,Chicken Momos,180,C445
338,2026-05-28,19,Momo Junction,Coffee,80,C444
339,2026-02-19,20,Taste of Tawang,Coffee,80,C420
340,2026-04-27,17,Momo Junction,Spring Roll,120,C066
341,2026-01-06,19,Mountain Cafe,Veg Momos,150,C371
342,2026-05-05,14,Dragon Bites,Spring Roll,120,C040
343,2026-05-23,14,Highland Kitchen,Chowmein,180,C008
344,2026-03-28,19,Dragon Bites,Pizza,350,C375
345,2026-03-10,12,Taste of Tawang,Chowmein,180,C318
346,2026-03-01,17,Snow Peak Diner,Fried Rice,200,C231
347,2026-03-25,19,Cafe Himalaya,Thukpa,220,C145
348,2026-01-28,14,Arunachal Treats,Thukpa,220,C261
349,2026-02-14,14,Highland Kitchen,Chicken Momos,180,C195
350,2026-01-14,16,Highland Kitchen,Fried Rice,200,C332
351,2026-01-01,18,Snow Peak Diner,Thukpa,220,C171
352,2026-02-26,13,Momo Junction,Chicken Momos,180,C284
353,2026-04-17,20,Arunachal Treats,Thukpa,220,C204
354,2026-02-18,20,Snow Peak Diner,Chowmein,180,C156
355,2026-04-18,18,Momo Junction,Fried Rice,200,C370
356,2026-02-06,21,Tawang Kitchen,Veg Momos,150,C119
357,2026-02-28,16,Tawang Kitchen,Burger,220,C179
358,2026-01-20,22,Snow Peak Diner,Spring Roll,120,C251
359,2026-02-19,22,Bamboo Bowl,Veg Momos,150,C223
360,2026-02-07,13,Momo Junction,Coffee,80,C336
361,2026-05-04,19,Dragon Bites,Veg Momos,150,C341
362,2026-01-08,13,Cafe Himalaya,Chicken Momos,180,C005
363,2026-02-03,19,Bamboo Bowl,Fried Rice,200,C218
364,2026-04-24,14,Highland Kitchen,Spring Roll,120,C136
365,2026-04-23,11,Snow Peak Diner,Coffee,80,C345
366,2026-02-02,19,Arunachal Treats,Pizza,350,C304
367,2026-04-15,12,Dragon Bites,Chowmein,180,C498
368,2026-03-04,22,Taste of Tawang,Fried Rice,200,C089
369,2026-03-18,15,Momo Junction,Thukpa,220,C098
370,2026-05-12,19,Cafe Himalaya,Fried Rice,200,C482
371,2026-05-21,20,Mountain Cafe,Veg Momos,150,C365
372,2026-03-29,15,Bamboo Bowl,Chicken Momos,180,C089
373,2026-05-23,19,Highland Kitchen,Chowmein,180,C199
374,2026-05-27,17,Taste of Tawang,Chowmein,180,C417
375,2026-02-04,14,Highland Kitchen,Chicken Momos,180,C267
376,2026-04-20,19,Dragon Bites,Burger,220,C430
377,2026-01-03,18,Snow Peak Diner,Thukpa,220,C304
378,2026-04-27,20,Taste of Tawang,Veg Momos,150,C012
379,2026-02-17,19,Momo Junction,Chowmein,180,C271
380,2026-03-11,20,Arunachal Treats,Tea,40,C407
381,2026-03-21,19,Taste of Tawang,Tea,40,C292
382,2026-01-15,13,Cafe Himalaya,Burger,220,C275
383,2026-03-19,18,Arunachal Treats,Veg Momos,150,C052
384,2026-05-16,16,Momo Junction,Burger,220,C158
385,2026-01-02,15,Momo Junction,Veg Momos,150,C090
386,2026-04-04,13,Highland Kitchen,Thukpa,220,C039
387,2026-02-25,20,Highland Kitchen,Tea,40,C440
388,2026-03-25,18,Bamboo Bowl,Pizza,350,C310
389,2026-04-30,18,Bamboo Bowl,Chicken Momos,180,C406
390,2026-01-21,21,Taste of Tawang,Fried Rice,200,C026
391,2026-01-15,19,Highland Kitchen,Thukpa,220,C121
392,2026-03-13,20,Tawang Kitchen,Spring Roll,120,C154
393,2026-03-09,15,Mountain Cafe,Chowmein,180,C100
394,2026-03-30,12,Momo Junction,Tea,40,C458
395,2026-03-10,13,Mountain Cafe,Chicken Momos,180,C108
396,2026-04-29,18,Cafe Himalaya,Veg Momos,150,C432
397,2026-05-23,14,Bamboo Bowl,Chowmein,180,C160
398,2026-03-19,19,Taste of Tawang,Spring Roll,120,C254
399,2026-01-02,15,Bamboo Bowl,Thukpa,220,C085
400,2026-03-08,18,Bamboo Bowl,Veg Momos,150,C425
401,2026-01-24,13,Mountain Cafe,Chicken Momos,180,C068
402,2026-04-12,19,Bamboo Bowl,Spring Roll,120,C109
403,2026-04-07,19,Taste of Tawang,Pizza,350,C136
404,2026-05-03,16,Bamboo Bowl,Chicken Momos,180,C196
405,2026-03-01,12,Arunachal Treats,Chicken Momos,180,C428
406,2026-01-08,21,Dragon Bites,Chowmein,180,C067
407,2026-02-13,16,Mountain Cafe,Fried Rice,200,C342
408,2026-05-10,22,Dragon Bites,Fried Rice,200,C102
409,2026-02-04,20,Momo Junction,Chicken Momos,180,C264
410,2026-02-13,12,Arunachal Treats,Fried Rice,200,C333
411,2026-02-24,18,Taste of Tawang,Thukpa,220,C055
412,2026-05-24,19,Momo Junction,Chicken Momos,180,C003
413,2026-04-02,22,Cafe Himalaya,Tea,40,C005
414,2026-04-14,20,Tawang Kitchen,Pizza,350,C121
415,2026-03-25,19,Dragon Bites,Chowmein,180,C456
416,2026-02-01,13,Cafe Himalaya,Tea,40,C500
417,2026-05-22,12,Bamboo Bowl,Veg Momos,150,C114
418,2026-04-15,12,Taste of Tawang,Veg Momos,150,C457
419,2026-03-16,20,Bamboo Bowl,Chicken Momos,180,C154
420,2026-02-24,13,Cafe Himalaya,Pizza,350,C427
421,2026-03-01,20,Highland Kitchen,Fried Rice,200,C012
422,2026-02-11,18,Mountain Cafe,Chicken Momos,180,C158
423,2026-05-14,13,Bamboo Bowl,Coffee,80,C436
424,2026-05-23,17,Dragon Bites,Thukpa,220,C347
425,2026-01-20,19,Highland Kitchen,Veg Momos,150,C025
426,2026-01-25,18,Tawang Kitchen,Veg Momos,150,C164
427,2026-04-20,21,Momo Junction,Chicken Momos,180,C387
428,2026-05-14,13,Arunachal Treats,Burger,220,C482
429,2026-05-29,11,Taste of Tawang,Coffee,80,C079
430,2026-01-12,22,Momo Junction,Pizza,350,C146
431,2026-04-03,11,Dragon Bites,Fried Rice,200,C060
432,2026-01-31,12,Mountain Cafe,Tea,40,C418
433,2026-03-30,12,Dragon Bites,Spring Roll,120,C253
434,2026-03-24,13,Arunachal Treats,Coffee,80,C329
435,2026-01-07,19,Tawang Kitchen,Burger,220,C260
436,2026-04-13,14,Arunachal Treats,Pizza,350,C359
437,2026-02-21,19,Cafe Himalaya,Pizza,350,C231
438,2026-03-04,20,Mountain Cafe,Veg Momos,150,C007
439,2026-01-14,13,Cafe Himalaya,Fried Rice,200,C133
440,2026-05-10,13,Arunachal Treats,Tea,40,C246
441,2026-03-20,19,Bamboo Bowl,Fried Rice,200,C314
442,2026-05-13,14,Arunachal Treats,Coffee,80,C474
443,2026-03-23,12,Momo Junction,Veg Momos,150,C465
444,2026-05-19,18,Momo Junction,Burger,220,C256
445,2026-04-27,18,Momo Junction,Tea,40,C034
446,2026-04-22,20,Snow Peak Diner,Pizza,350,C227
447,2026-02-11,20,Tawang Kitchen,Thukpa,220,C105
448,2026-04-30,16,Tawang Kitchen,Chicken Momos,180,C130
449,2026-01-10,21,Snow Peak Diner,Chicken Momos,180,C277
